id,title,context,question,answers
1,modern slavery score,"The modern slavery score is 8. The modern slavery score is not only an indicator of a company's commitment to ethical sourcing practices, but also of their compliance with laws and regulations related to modern slavery. For example, the UK Modern Slavery Act requires companies with a turnover of £36 million or more to publish a statement on their efforts to prevent and address modern slavery in their operations and supply chains.",what is the modern slavery score forEASYJET PLC?,"{'answer_start': [28], 'text': ['8']}"
2,"Carbon footprint, Delta Air Lines","Delta Air Lines has been actively working to reduce its carbon footprint in recent years. As of 2021, the airline's carbon footprint stood at 42.8 million metric tons CO2e, which is down from 50.5 million metric tons CO2e in 2012. Delta has achieved this reduction through a variety of measures, including fleet modernization, improved operational efficiency, and the use of sustainable aviation fuels.",What is the carbon footprint of Delta Air Lines?,"{'answer_start': [142], 'text': ['42.8 million metric tons CO2e']}"
3,aircraft certified / Chapter 5 noise limits,"Percent of aircraft certified as, or meeting, Chapter 3 noise limits: 100%",how much is (was) Percent of chapter 5 noise limits for mainline in 2018?,"{'answer_start': [70], 'text': ['100%']}"
4,REV PASS MILES,"The REV PASS MILES is 198.6935942.One potential downside of Rev Pass miles is that they can be difficult to redeem, particularly for popular routes and travel dates. Some airlines have been criticized for making it difficult for passengers to redeem their miles, which can undermine the value of the loyalty program and frustrate passengers.",What is the rev pass miles for SOUTHWEST AIRLINES?,"{'answer_start': [22], 'text': ['198.6935942']}"
5,giving,"There's no cost for nonprofits to join our crowdfunding community. Instead, GlobalGiving retains a 5-12% nonprofit support fee plus a 3% third party processing fee on donations (head here to see the fee for organizations). GlobalGiving works hard to keep costs low; the nonprofit support fee is 5-7% for most donations.",how much is (was) global giving?,"{'answer_start': [-1], 'text': ['No answer exists']}"
6,giving,Total corporate donations (monetory and inkind ticket donations) is more than 25 million,how much is (was) global giving?,"{'answer_start': [68], 'text': ['more than 25 million']}"
7,Scope 3Carbon Emissions,"Airlines can also consider implementing carbon reporting and disclosure programs to track and report their carbon emissions, including scope 3 emissions. This can provide transparency to customers and stakeholders and encourage accountability for sustainability efforts.The Scope 3Carbon Emissions is 322.2025752.",What is the Scope 3Carbon Emissions for PEGASUS HAVA TASIMACILIGI AS?,"{'answer_start': [301], 'text': ['322.2025752']}"
8,SGD Revenue,"In addition to revenue generation, airlines must also manage costs in order to maximize profitability. This can include measures such as fuel-efficient planes, optimized flight schedules, and effective inventory management. Airlines must also manage labor costs, which can be a significant expense in the industry.SGD Revenue is 100 %.",what is the SGD Revenue % for Qantas (+ Longreach/Dash)?,"{'answer_start': [329], 'text': ['100']}"
9,Spills,"Eighteen years ago, Taylor Energy’s MC20 oil production platform collapsed in an underwater mudslide caused by Hurricane Ivan, spilling oil into the Gulf of Mexico from the well site. This week marks the milestone of more than one million gallons of oil collected and removed from the environment by the U.S. Coast Guard.",how much is (was) Spills recorded in 2013?,"{'answer_start': [-1], 'text': ['No answer exists']}"
10,damage / Aircraft ground damages,"In 2021, of our cabin crew undertook the anti-human trafficking training. In this year, no suspected human trafficking incidents were reported.",how much is (was) aircraft ground damages?,"{'answer_start': [88], 'text': ['no']}"
